feature,importance
Mn_proxy_ret,355
Mn_proxy_rz4,337
Mn_proxy_rs4,291
crude_oil_ret,273
usd_cny_ret,252
nickel_futures_ret,251
ore_cost_rs13,247
Mn_proxy_rz8,245
crude_oil_rs8,244
ore_cost,237
usd_cny_rz4,225
Mn_proxy_rz13,224
Mn_proxy_rs8,223
chn_electricity_rz4,221
steel_etf_ret,219
Mn_proxy_rs13,217
crude_oil_rs4,214
ore_cost_ret,209
nickel_futures_rz4,208
usd_cny_rs4,205
chn_electricity_ret,202
nickel_futures_rs8,196
nickel_futures_rs4,190
crude_oil_rz26,185
steel_etf_rz4,183
chn_electricity_rz8,183
ore_cost_rz8,182
usd_cny_rz13,182
ore_cost_rs8,181
Mn_proxy_lag1,179
crude_oil_rz8,176
Mn_proxy_rz26,174
crude_oil_rs13,174
chn_electricity_rs4,173
ore_cost_rz4,172
steel_etf_rz8,169
usd_cny_rz8,167
usd_cny_rs8,167
steel_etf_rs8,167
crude_oil_rz4,166
nickel_futures_rz8,165
steel_etf_rs4,160
nickel_futures_rs13,159
ore_cost_rs4,159
chn_electricity_rs13,158
chn_electricity_rz26,158
nickel_futures_rz26,155
dry_bulk_freight_ret,154
chn_electricity_rz13,149
Mn_proxy_rs26,148
crude_oil_rz13,146
nickel_futures_rz13,145
crude_oil_rs26,145
chn_electricity_rs8,144
crude_oil,143
ore_cost_rz13,142
dry_bulk_freight_rz4,138
steel_etf_rz13,134
ore_cost_rs26,134
usd_cny_rs13,134
Mn_proxy_rm4,133
crude_oil_lag26,131
usd_cny_rs26,127
steel_etf_rs13,127
dry_bulk_freight_rs8,126
steel_etf_rz26,125
usd_cny_rz26,124
dry_bulk_freight,124
Mn_proxy_lag2,123
dry_bulk_freight_rs4,122
chn_electricity,121
week_of_yr,119
crude_oil_lag13,112
chn_electricity_rs26,110
ore_cost_rz26,107
dry_bulk_freight_rs13,106
usd_cny,106
ore_energy_ratio,104
dry_bulk_freight_rz13,99
steel_etf,97
dry_bulk_freight_rz26,97
nickel_futures_rs26,95
ore_cost_lag4,95
dry_bulk_freight_rz8,93
dry_bulk_freight_lag13,92
dry_bulk_freight_rs26,89
usd_cny_lag26,87
ore_cost_lag2,86
dry_bulk_freight_lag26,86
crude_oil_lag8,86
chn_electricity_lag26,86
chn_electricity_lag6,84
ore_cost_lag26,84
chn_electricity_lag4,84
usd_cny_lag13,82
crude_oil_lag2,81
Mn_proxy_lag4,81
ore_cost_lag1,79
nickel_futures,77
Mn_proxy_lag6,75
Mn_proxy_lag8,74
usd_cny_lag8,73
nickel_futures_lag26,73
nickel_futures_lag2,72
steel_etf_rs26,72
chn_electricity_lag13,71
month,70
nickel_futures_lag8,69
ore_cost_lag6,67
Mn_proxy_lag13,66
usd_cny_lag4,66
nickel_futures_lag13,66
dry_bulk_freight_lag1,65
Mn_proxy_lag26,64
crude_oil_lag4,64
chn_electricity_lag1,63
ore_cost_lag8,62
ore_cost_lag13,62
nickel_futures_lag4,61
crude_oil_lag6,59
usd_cny_lag2,58
chn_electricity_lag2,57
crude_oil_lag1,56
usd_cny_lag6,54
dry_bulk_freight_lag2,54
nickel_futures_lag1,53
chn_electricity_lag8,53
steel_etf_lag13,48
chn_electricity_rm26,46
nickel_futures_lag6,46
crude_oil_rm26,46
chn_electricity_rm8,46
dry_bulk_freight_lag6,44
dry_bulk_freight_lag8,42
usd_cny_lag1,42
steel_etf_lag8,39
steel_etf_lag6,36
ore_cost_rm8,36
ore_cost_rm26,35
usd_cny_rm8,35
usd_cny_rm4,34
usd_cny_rm26,34
steel_etf_lag2,34
Mn_proxy_rm8,34
steel_etf_lag26,34
steel_etf_lag1,33
dry_bulk_freight_lag4,33
Mn_proxy_rm26,32
crude_oil_rm4,32
usd_cny_rm13,32
chn_electricity_rm13,30
ore_cost_rm4,29
nickel_futures_rm26,26
dry_bulk_freight_rm26,26
steel_etf_lag4,26
dry_bulk_freight_rm4,25
Mn_proxy_rm13,25
ore_cost_rm13,25
crude_oil_rm8,21
chn_electricity_rm4,21
steel_etf_rm26,21
dry_bulk_freight_rm13,20
dry_bulk_freight_rm8,20
steel_etf_rm13,18
steel_etf_rm8,16
crude_oil_rm13,16
nickel_futures_rm13,15
nickel_futures_rm4,15
nickel_futures_rm8,14
steel_etf_rm4,12
quarter,6
q4_restock,2
cny_window,1
cartel_2021,0
tariff_301_2018,0
cartel_2025,0
env_audit_2025,0
tariff_301_2021,0
structural_ore_deficit,0
env_audit_2021,0
