date,predicted_index,real_price,regime_probability
2026-05-01,107.0782,205.1885,0.6883
2026-05-08,104.0976,199.4769,0.6834
2026-05-15,104.7866,200.7971,0.6786
2026-05-22,105.3132,201.8062,0.6738
2026-05-29,102.6555,196.7135,0.6691
2026-06-05,100.6166,192.8063,0.6644
2026-06-12,100.179,191.9678,0.6598
2026-06-19,101.2574,194.0343,0.6552
2026-06-26,101.1823,193.8904,0.6506
2026-07-03,99.9594,191.5471,0.6461
2026-07-10,97.4009,186.6443,0.6416
2026-07-17,95.9214,183.8092,0.6372
2026-07-24,96.5832,185.0774,0.6328
2026-07-31,96.8676,185.6225,0.6285
2026-08-07,97.244,186.3437,0.6242
2026-08-14,97.5262,186.8844,0.62
2026-08-21,97.6171,187.0586,0.6158
2026-08-28,98.1022,187.9882,0.6116
2026-09-04,98.1015,187.9868,0.6075
2026-09-11,98.6406,189.02,0.6034
2026-09-18,98.5236,188.7956,0.5994
2026-09-25,98.5743,188.8929,0.5954
2026-10-02,98.627,188.9939,0.5915
2026-10-09,98.7486,189.2268,0.5875
2026-10-16,98.4643,188.6821,0.5837
2026-10-23,98.0781,187.942,0.5798
2026-10-30,97.2611,186.3765,0.576
2026-11-06,96.4296,184.783,0.5723
2026-11-13,96.2279,184.3965,0.5686
2026-11-20,96.3133,184.5602,0.5649
2026-11-27,97.0035,185.8828,0.5612
2026-12-04,97.6891,187.1966,0.5576
2026-12-11,98.2827,188.334,0.554
2026-12-18,98.4489,188.6526,0.5505
2026-12-25,98.6187,188.978,0.547
2027-01-01,98.8066,189.3379,0.5435
2027-01-08,98.5811,188.9059,0.5401
2027-01-15,98.9099,189.5359,0.5367
2027-01-22,98.6293,188.9982,0.5333
2027-01-29,98.6176,188.9759,0.53
2027-02-05,98.5569,188.8595,0.5267
2027-02-12,98.3292,188.4231,0.5234
2027-02-19,97.1806,186.2221,0.5202
2027-02-26,95.9533,183.8703,0.517
2027-03-05,95.8047,183.5855,0.5138
2027-03-12,96.2126,184.3673,0.5107
2027-03-19,97.262,186.3782,0.5076
2027-03-26,98.1382,188.0573,0.5045
2027-04-02,98.3428,188.4493,0.5014
2027-04-09,98.9898,189.6891,0.4984
2027-04-16,98.9522,189.6169,0.4954
2027-04-23,99.0834,189.8683,0.4925
2027-04-30,99.1821,190.0575,0.4896
2027-05-07,98.8335,189.3895,0.4867
2027-05-14,98.1941,188.1643,0.4838
2027-05-21,97.5964,187.0189,0.481
2027-05-28,97.4551,186.7481,0.4782
2027-06-04,97.393,186.6292,0.4754
2027-06-11,98.1718,188.1216,0.4726
2027-06-18,98.5978,188.9379,0.4699
2027-06-25,98.7825,189.2918,0.4672
2027-07-02,98.8792,189.477,0.4645
2027-07-09,99.0456,189.7959,0.4619
2027-07-16,98.9317,189.5777,0.4593
2027-07-23,98.7865,189.2994,0.4567
2027-07-30,98.428,188.6124,0.4541
2027-08-06,97.8498,187.5046,0.4516
2027-08-13,97.2087,186.2761,0.449
2027-08-20,96.9242,185.7308,0.4466
2027-08-27,96.7093,185.3191,0.4441
2027-09-03,96.397,184.7205,0.4416
2027-09-10,96.5694,185.051,0.4392
2027-09-17,97.2645,186.3829,0.4368
2027-09-24,97.6991,187.2158,0.4345
2027-10-01,98.5509,188.8479,0.4321
2027-10-08,98.7012,189.1361,0.4298
2027-10-15,98.9927,189.6947,0.4275
2027-10-22,98.9547,189.6218,0.4252
2027-10-29,98.6454,189.0291,0.423
2027-11-05,98.2489,188.2694,0.4207
2027-11-12,97.5407,186.9121,0.4185
2027-11-19,97.1153,186.097,0.4164
2027-11-26,97.058,185.9872,0.4142
2027-12-03,96.6659,185.2358,0.412
2027-12-10,96.2442,184.4279,0.4099
2027-12-17,95.8746,183.7195,0.4078
2027-12-24,95.9973,183.9547,0.4058
2027-12-31,96.7992,185.4913,0.4037
2028-01-07,97.5938,187.0139,0.3915
